Ranking of the world's countries by 2015 per capita fossil-fuel emission CO2
emissions rates. National per capita estimates (CO2_CAP) are expressed in
metric tons of carbon (not CO2). To convert these estimates to units of carbon
dioxide (CO2), simply multiply these estimates by 3.667.

SOURCE:  Dennis Gilfillan and Gregg Marland
         Research Institute for Environment, Energy, and Economics
         Appalachian State University
         Boone, NC 28608-2131 USA
With	 Tom Boden and Bob Andres, retired


RANK     NATION                                                      CO2_CAP
1        QATAR                                                          12.25
2        CURACAO                                                        11.04
3        TRINIDAD AND TOBAGO                                             9.27
4        KUWAIT                                                          6.65
5        BAHRAIN                                                         6.54
6        UNITED ARAB EMIRATES                                            6.38
7        SAUDI ARABIA                                                    6.35
8        SAINT MARTIN (DUTCH PORTION)                                    5.28
9        NEW CALEDONIA                                                   4.99
10       FALKLAND ISLANDS (MALVINAS)                                     4.97
11       OMAN                                                            4.89
12       BRUNEI (DARUSSALAM)                                             4.63
13       GIBRALTAR                                                       4.53
14       LUXEMBOURG                                                      4.43
15       UNITED STATES OF AMERICA                                        4.33
16       AUSTRALIA                                                       4.18
17       CANADA                                                          3.94
18       KAZAKHSTAN                                                      3.71
19       BONAIRE, SAINT EUSTATIUS, AND SABA                              3.55
20       ST. PIERRE & MIQUELON                                           3.49
21       TURKMENISTAN                                                    3.46
22       ESTONIA                                                         3.46
23       FAEROE ISLANDS                                                  3.38
24       LIBYAN ARAB JAMAHIRIYAH                                         3.26
25       REPUBLIC OF KOREA                                               3.22
26       RUSSIAN FEDERATION                                              3.22
27       MONTSERRAT                                                      3.18
28       SINGAPORE                                                       3.03
29       TAIWAN                                                          3.01
30       PALAU                                                           2.95
31       ANGUILLA                                                        2.79
32       NETHERLANDS                                                     2.78
33       CZECH REPUBLIC                                                  2.57
34       CAYMAN ISLANDS                                                  2.53
35       NORWAY                                                           2.5
36       GREENLAND                                                       2.48
37       JAPAN                                                           2.47
38       BERMUDA                                                         2.44
39       GERMANY                                                         2.43
40       BELGIUM                                                          2.4
41       ARUBA                                                           2.36
42       SOUTH AFRICA                                                    2.32
43       ISRAEL                                                          2.28
44       ISLAMIC REPUBLIC OF IRAN                                        2.23
45       MONGOLIA                                                        2.13
46       FINLAND                                                          2.1
