Ranking of the world's countries by 2016 total CO2 emissions from fossil-fuel
burning, cement production, and gas flaring. Emissions (CO2_TOT) are
expressed in thousand metric tons of carbon (not CO2).  To convert these
estimates to units of carbon dioxide (CO2), simply multiply these estimates
by 3.667.

SOURCE:  Dennis Gilfillan and Gregg Marland
         Research Institute for Environment, Energy, and Economics
         Appalachian State University
         Boone, NC 28608-2131 USA
with     Tom Boden and Bob Andres, retired 


RANK     NATION                                                      CO2_TOT
1        CHINA (MAINLAND)                                             2697856
2        UNITED STATES OF AMERICA                                     1365231
3        INDIA                                                         656578
4        RUSSIAN FEDERATION                                            472328
5        JAPAN                                                         309759
6        GERMANY                                                       198520
7        ISLAMIC REPUBLIC OF IRAN                                      180450
8        REPUBLIC OF KOREA                                             169158
9        SAUDI ARABIA                                                  153654
10       INDONESIA                                                     153620
11       CANADA                                                        148594
12       MEXICO                                                        132644
13       SOUTH AFRICA                                                  129982
14       BRAZIL                                                        126070
15       UNITED KINGDOM                                                103361
16       AUSTRALIA                                                     102511
17       TURKEY                                                        101643
18       ITALY (INCLUDING SAN MARINO)                                   89525
19       FRANCE (INCLUDING MONACO)                                      85022
20       POLAND                                                         81548
21       THAILAND                                                       77383
22       TAIWAN                                                         72789
23       MALAYSIA                                                       67709
24       KAZAKHSTAN                                                     67414
25       SPAIN                                                          66540
26       EGYPT                                                          65056
27       UNITED ARAB EMIRATES                                           56265
28       UKRAINE                                                        55154
29       ARGENTINA                                                      54908
30       PAKISTAN                                                       54854
31       VIET NAM                                                       52541
32       IRAQ                                                           51830
33       NETHERLANDS                                                    46572
34       VENEZUELA                                                      44771
35       ALGERIA                                                        40907
36       PHILIPPINES                                                    33348
37       NIGERIA                                                        32825
38       QATAR                                                          28159
39       CZECH REPUBLIC                                                 27875
40       KUWAIT                                                         26925
41       COLOMBIA                                                       26674
42       BELGIUM                                                        26422
43       UZBEKISTAN                                                     25037
44       CHILE                                                          23404
45       BANGLADESH                                                     22974
46       TURKMENISTAN                                                   19261
47       ROMANIA                                                        18887
48       ISRAEL                                                         17771
49       OMAN                                                           17305
50       GREECE                                                         17026
51       AUSTRIA                                                        16757
52       MOROCCO                                                        16710
53       BELARUS                                                        15893
54       PERU                                                           15657
55       LIBYAN ARAB JAMAHIRIYAH                                        13789
56       PORTUGAL                                                       13292
57       FINLAND                                                        12509
58       HUNGARY                                                        12418
59       SERBIA                                                         12332
60       TRINIDAD AND TOBAGO                                            11963
61       HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA                11902
62       SWEDEN                                                         11795
63       BULGARIA                                                       11374
64       ECUADOR                                                        11223
65       NORWAY                                                         11187
66       IRELAND                                                        10284
67       AZERBAIJAN                                                     10259
68       SINGAPORE                                                      10236
69       ANGOLA                                                          9461
70       SWITZERLAND                                                     9402
71       NEW ZEALAND                                                     9376
72       SLOVAKIA                                                        8842
