Ranking of the world's countries by 2017 per capita fossil-fuel CO2 emissions
rates. National per capita estimates (CO2_CAP) are expressed in metric tons of
tons of carbon (not CO2). To convert these estimates to units of carbon dioxide
(CO2), simply multiply these estimates by 3.667.

SOURCE:  Dennis Gilfillan and Gregg Marland
         Research Institute for Environment, Energy, and Economics
         Appalachian State University
         Boone, NC 28608-2131 USA
SOURCE:  Tom Boden and Bob Andres
         Carbon Dioxide Information Analysis Center
         Oak Ridge National Laboratory
         Oak Ridge, TN 37831-6290 USA


RANK     NATION                                                      CO2_CAP
1        QATAR                                                          10.58
2        CURACAO                                                         8.58
3        TRINIDAD AND TOBAGO                                             7.88
4        KUWAIT                                                          7.06
5        BRUNEI (DARUSSALAM)                                              6.2
6        BAHRAIN                                                            6
7        GIBRALTAR                                                       5.61
8        UNITED ARAB EMIRATES                                            5.41
9        NEW CALEDONIA                                                   5.26
10       SAINT MARTIN (DUTCH PORTION)                                    4.95
11       SAUDI ARABIA                                                    4.72
12       CANADA                                                          4.25
13       LUXEMBOURG                                                      4.16
14       UNITED STATES OF AMERICA                                        4.11
15       AUSTRALIA                                                       4.06
16       FAEROE ISLANDS                                                  3.98
17       OMAN                                                            3.84
18       KAZAKHSTAN                                                       3.7
19       BONAIRE, SAINT EUSTATIUS, AND SABA                              3.59
20       ESTONIA                                                         3.58
21       ST. PIERRE & MIQUELON                                           3.56
22       PALAU                                                           3.53
23       RUSSIAN FEDERATION                                              3.39
24       TURKMENISTAN                                                    3.34
25       REPUBLIC OF KOREA                                               3.31
26       FALKLAND ISLANDS (MALVINAS)                                     3.14
27       TAIWAN                                                          3.14
28       MONGOLIA                                                           3
29       BERMUDA                                                         2.72
30       NETHERLANDS                                                     2.66
31       ANGUILLA                                                        2.64
32       CZECH REPUBLIC                                                  2.58
33       CAYMAN ISLANDS                                                   2.5
34       GREENLAND                                                       2.48
35       JAPAN                                                           2.46
36       ISLAMIC REPUBLIC OF IRAN                                        2.46
37       NORWAY                                                          2.44
38       GERMANY                                                         2.37
39       ARUBA                                                           2.37
40       BELGIUM                                                         2.27
41       SOUTH AFRICA                                                    2.23
42       POLAND                                                          2.23
43       MALAYSIA                                                        2.18
44       FINLAND                                                          2.1
45       IRELAND                                                         2.09
46       ISRAEL                                                          2.07
47       NEW ZEALAND                                                     1.97
48       AUSTRIA                                                         1.96
49       SINGAPORE                                                       1.87
50       CHINA (MAINLAND)                                                1.86
51       LIBYAN ARAB JAMAHIRIYAH                                         1.84
52       BOSNIA & HERZEGOVINA                                            1.78
53       SLOVENIA                                                        1.72
54       BULGARIA                                                        1.71
55       GREECE                                                           1.7
56       BELARUS                                                          1.7
57       TURKS AND CAICOS ISLANDS                                        1.69
58       SLOVAKIA                                                        1.68
59       SEYCHELLES                                                      1.66
60       ANDORRA                                                         1.65
61       ICELAND                                                         1.65
62       CYPRUS                                                          1.64
63       HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA                 1.59
64       SPAIN                                                           1.57
65       BRITISH VIRGIN ISLANDS                                          1.56
66       IRAQ                                                            1.52
67       DENMARK                                                         1.51
68       MONTSERRAT                                                      1.51
69       UNITED KINGDOM                                                  1.49
70       ITALY (INCLUDING SAN MARINO)                                    1.45
71       BAHAMAS                                                         1.41
72       SERBIA                                                          1.41
