Entity,Year,Oil Consumption - TWh,Gas Consumption - TWh,Coal Consumption - TWh,Hydro Generation - TWh,Solar Generation - TWh,Wind Generation - TWh,Nuclear Generation - TWh,Geo Biomass Other - TWh
Africa,1965,327.3331644,9.543754167,323.4961383,13.90563517,0,0,0,0
Africa,1966,358.1326739,10.66991611,323.1221933,15.51000414,0,0,0,0
Africa,1967,355.2814586,10.54566972,330.2915847,16.19063636,0,0,0,0
Africa,1968,374.8521306,10.68896972,343.5129108,18.93834056,0,0,0,0
Africa,1969,379.9730861,12.49199972,346.6429217,22.10088962,0,0,0,0
Africa,1970,419.8099003,15.520325,360.7568994,27.63042982,0,0,0,0
Africa,1971,474.4581836,18.40526361,383.0123186,26.0133909,0,0,0,0.164
Africa,1972,514.2536772,24.67065694,384.2108033,29.63319642,0,0,0,0.165
Africa,1973,553.1083622,39.55179139,408.9103533,31.34570755,0,0,0,0.17
Africa,1974,572.2501369,44.5184875,425.6462261,35.66707429,0,0,0,0.175
Africa,1975,598.79114,53.6383775,451.0805036,37.71796997,0,0,0,0.172
Africa,1976,664.2742522,60.98139,481.0741561,41.79763324,0,0,0,0.185
Africa,1977,703.3731814,68.23419083,491.698455,45.92876812,0,0,0,0.189
Africa,1978,740.6251911,97.36989778,477.8155828,46.30693874,0,0,0,0.195
Africa,1979,789.8455275,148.8428158,507.2469964,49.56523298,0,0,0,0.201
Africa,1980,835.2707033,186.9139772,543.5570594,48.31178436,0,0,0,0.207
Africa,1981,887.8791961,228.4911561,635.7987833,50.19290606,0,0,0,0.218
Africa,1982,932.2492286,246.7335486,701.1758825,50.20623713,0,0,0,0.236
Africa,1983,963.1884742,271.2753469,713.2460472,45.24716006,0,0,0,0.23
Africa,1984,985.0113428,259.9027806,762.8978717,44.48997332,0,0,3.925,0.234
Africa,1985,1007.608725,278.8427469,787.1658894,49.44968505,0,0,5.315,0.269
Africa,1986,992.4227592,313.2712025,805.3560964,51.1453733,0,0,8.803,0.659
Africa,1987,1047.210547,323.3843572,828.3197322,49.05646031,0,0,6.167,0.658
Africa,1988,1090.467235,358.4445406,890.1608047,53.59345636,0,0,10.493,0.626
Africa,1989,1130.031143,371.4710411,835.6208619,56.27621477,0,0,11.099,0.617
Africa,1990,1145.123741,398.6453844,877.8098614,57.25465912,0,0,8.449,0.808
Africa,1991,1148.661007,401.6355931,853.1945686,60.65148841,0,0,9.144,0.824
Africa,1992,1171.737778,421.2702575,858.3007481,57.86029168,0,0,9.288000285,0.85425
Africa,1993,1181.508105,412.6439775,871.6152064,56.68250727,0,0.002,7.255000053,0.9397
Africa,1994,1221.541966,431.8279522,894.1687308,57.59604857,0,0.0054,9.696999854,0.837
Africa,1995,1264.970824,461.2434978,921.80284,59.76887687,0,0.0063,11.30099943,1.0207
Africa,1996,1296.483155,484.1917481,934.5518386,62.31645867,0,0.0071,11.77500009,1.260093088
Africa,1997,1331.656758,474.4755361,958.3213992,63.85249756,0,0.0072,12.64699988,1.388640408
Africa,1998,1363.769156,499.3369944,936.3072786,66.65488788,0,0.0076,13.60099945,1.714549286
Africa,1999,1414.156084,504.0196075,965.48062,70.68426132,0,0.0198,12.83699988,1.696124799
Africa,2000,1421.515377,556.8223564,963.273915,75.24581662,0.011941,0.1755,13.01000009,2.269063158
Africa,2001,1434.980824,634.6361539,975.5876619,80.86411472,0.01496,0.41558,10.71899964,2.335352632
Africa,2002,1467.21587,670.6053761,934.1009275,85.18146813,0.01787101,0.443584,11.99099944,2.2864
Africa,2003,1507.737655,711.5067125,1016.712642,82.87260146,0.02132901,0.535599,12.66299922,2.6224
